Log_ID,Server_ID,Server_Cluster_x,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Source_Station,Log_Date,Hour_Of_Day,Total_Time_Hours,Availability (%),Is_High_CPU,Is_High_Memory,Is_High_Disk_IO,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Server_Cluster_y,Admin_Email,Admin_Phone
Station1_LOG00001,SRV001,CL-8,2025-08-02 23:30:00,94.63,81.3,44.1,1.67,21.79,506.74,2.77,Station1,2025-08-02,23,509.51,99.45634040548764,True,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00002,SRV005,CL-3,2025-08-01 03:12:00,34.98,45.56,58.36,29.42,12.190000000000001,157.97,0.23,Station1,2025-08-01,3,158.2,99.85461441213654,False,False,False,host-005,10.0.39.146,Windows,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00003,SRV001,CL-8,2025-08-01 01:33:00,37.41,73.65,74.51,2.79,18.88,606.27,5.85,Station1,2025-08-01,1,612.12,99.0443050382278,False,False,False,host-001,10.0.186.8,Windows,London,George,CL-8,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00004,SRV091,CL-2,2025-08-02 12:56:00,86.86,60.65,23.75,22.67,21.24,893.06,3.84,Station1,2025-08-02,12,896.9,99.57185862414984,True,False,False,host-091,10.0.22.9,Windows,London,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00005,SRV089,CL-1,2025-08-02 02:50:00,91.59,62.23,50.36,11.64,19.67,198.31,0.22,Station1,2025-08-02,2,198.53,99.88918551352441,True,False,False,host-089,10.0.225.14,Windows,Frankfurt,Hannah,CL-1,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00006,SRV073,CL-3,2025-08-01 02:28:00,10.54,33.59,6.86,29.15,13.44,256.34,3.31,Station1,2025-08-01,2,259.65,98.72520700943578,False,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00007,SRV094,CL-8,2025-08-01 08:01:00,20.89,45.095,60.62,1.49,5.67,526.82,6.69,Station1,2025-08-01,8,533.5100000000001,98.74604037412607,False,False,False,host-094,10.0.160.175,Linux,Singapore,Ethan,CL-8,ethan@xyzcorp.com,+1-202-853-1213
Station1_LOG00008,SRV050,CL-1,2025-08-01 02:40:00,84.23,89.37,36.12,19.17,14.16,974.54,9.05,Station1,2025-08-01,2,983.5899999999999,99.0799011783365,False,True,False,host-050,10.0.187.128,Linux,Singapore,Alice,CL-1,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00009,SRV013,CL-2,2025-08-01 23:07:00,56.07,57.99,21.22,29.09,10.51,301.21,2.17,Station1,2025-08-01,23,303.38,99.2847254268574,False,False,False,host-013,10.0.95.98,Linux,New York,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00010,SRV097,CL-3,2025-08-02 00:58:00,12.49,58.19,62.17,24.73,20.72,165.45,9.32,Station1,2025-08-02,0,174.76999999999998,94.66727699261888,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00011,SRV063,CL-10,2025-08-01 18:18:00,83.89,56.5,63.52,13.31,1.49,203.94,5.71,Station1,2025-08-01,18,209.65,97.27641306940139,False,False,False,host-063,10.0.167.228,Windows,New York,Alice,CL-10,alice@xyzcorp.com,+1-202-531-6896
Station1_LOG00012,SRV011,CL-7,2025-08-02 05:24:00,65.37,69.4,12.46,23.36,10.03,284.25,0.21,Station1,2025-08-02,5,284.46,99.9261759122548,False,False,False,host-011,10.0.220.226,Windows,Singapore,Fiona,CL-7,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00013,SRV071,CL-2,2025-08-02 03:14:00,33.95,42.02,68.23,23.66,20.48,830.93,3.9,Station1,2025-08-02,3,834.8299999999999,99.53283902111806,False,False,False,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00014,SRV054,CL-9,2025-08-01 18:08:00,29.93,65.16,39.43,27.89,21.67,599.71,5.17,Station1,2025-08-01,18,604.88,99.14528501520964,False,False,False,host-054,10.0.204.57,Windows,Mumbai,Charlie,CL-9,charlie@xyzcorp.com,+1-202-817-1167
Station1_LOG00015,SRV096,CL-4,2025-08-01 03:48:00,59.13,64.05,59.49,4.72,12.68,608.73,4.32,Station1,2025-08-01,3,613.0500000000001,99.29532664546122,False,False,False,host-096,10.0.247.66,Windows,Frankfurt,Diana,CL-4,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00016,SRV073,CL-3,2025-08-01 08:12:00,35.99,56.92,35.83,28.75,11.0,981.86,7.35,Station1,2025-08-01,8,989.21,99.25698284489644,False,False,False,host-073,10.0.191.2,Linux,New York,George,CL-3,george@xyzcorp.com,+1-202-749-4405
Station1_LOG00017,SRV097,CL-3,2025-08-02 22:20:00,69.55,62.19,74.52,13.93,12.4,225.95,4.09,Station1,2025-08-02,22,230.04,98.22204833941923,False,False,False,host-097,10.0.44.225,Linux,New York,Diana,CL-3,diana@xyzcorp.com,+1-202-789-3073
Station1_LOG00018,SRV071,CL-2,2025-08-02 22:33:00,76.61,30.5,49.33,0.86,13.82,146.02,0.18,Station1,2025-08-02,22,146.20000000000002,99.87688098495212,False,False,False,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00019,SRV020,CL-9,2025-08-02 20:18:00,70.23,42.22,65.07,25.64,12.98,656.71,1.09,Station1,2025-08-02,20,657.8000000000001,99.83429613864396,False,False,False,host-020,10.0.236.93,Windows,London,Bob,CL-9,bob@xyzcorp.com,+1-202-691-4215
Station1_LOG00020,SRV012,CL-3,2025-08-02 15:09:00,65.03,36.57,48.31,1.52,21.74,804.1,2.72,Station1,2025-08-02,15,806.82,99.66287399915718,False,False,False,host-012,10.0.183.117,Windows,Singapore,Fiona,CL-3,fiona@xyzcorp.com,+1-202-230-1591
Station1_LOG00021,SRV071,CL-2,2025-08-01 12:00:00,59.5,88.15,46.615,3.42,0.68,458.93,4.74,Station1,2025-08-01,12,463.67,98.97772122414649,False,True,False,host-071,10.0.214.19,Linux,Frankfurt,Hannah,CL-2,hannah@xyzcorp.com,+1-202-151-5538
Station1_LOG00022,SRV043,CL-8,2025-08-02 06:13:00,18.02,57.13,7.6,29.17,22.15,906.9,2.93,Station1,2025-08-02,6,909.8299999999999,99.67796181704274,False,False,False,host-043,10.0.177.175,Linux,Singapore,Bob,CL-8,bob@xyzcorp.com,+1-202-691-4215
